timestamp x y z
643214187185970691 -805 7 538
643214187190867134 -805 12 538
643214187195763577 -809 15 540
643214187200660020 -807 14 540
643214187205556463 -806 16 538
643214187210452906 -808 16 534
643214187215349349 -810 17 533
643214187220245792 -809 17 534
643214187225142235 -803 17 535
643214187230038678 -807 19 535
643214187234935121 -808 17 536
643214187239831564 -811 15 535
643214187244728007 -813 15 538
643214187249624450 -812 14 533
643214187254520893 -815 16 535
643214187259417336 -816 16 535
643214187264313779 -813 17 535
643214187269210222 -813 15 536
643214187274106665 -810 16 535
643214187279003108 -812 17 537
643214187283899551 -812 16 538
643214187288795994 -814 18 535
643214187293692437 -813 16 534
643214187298588880 -814 15 534
643214187303485323 -813 17 531
643214187308381766 -808 16 531
643214187313278209 -813 16 528
643214187318174652 -811 16 532
643214187323071095 -809 17 532
643214187327967538 -809 16 535
643214187332863981 -812 18 532
643214187337760424 -810 16 531
643214187342656867 -810 17 537
643214187347553310 -811 16 532
643214187352449753 -814 18 532
643214187357346196 -812 16 530
