timestamp x y z
643708545518430827 -981 -103 156
643708545528229648 -981 -103 161
643708545538028469 -984 -102 160
643708545547827290 -982 -104 161
643708545557626111 -980 -105 163
643708545567424932 -978 -106 161
643708545577223753 -977 -105 161
643708545587022574 -980 -105 162
643708545596821395 -982 -105 159
643708545606620216 -983 -104 164
643708545616419037 -982 -103 167
643708545626217858 -982 -100 168
643708545636016679 -984 -99 160
643708545645815500 -984 -102 168
643708545655614321 -980 -104 172
643708545665413142 -977 -105 170
643708545675211963 -976 -104 168
643708545685010784 -975 -103 168
643708545694809605 -979 -99 171
643708545704608426 -981 -98 173
643708545714407247 -976 -100 171
643708545724206068 -971 -103 169
643708545734004889 -972 -105 172
643708545743803710 -979 -107 179
643708545753602531 -980 -107 185
643708545763401352 -979 -106 178
643708545773200173 -979 -104 172
643708545782998994 -980 -99 173
643708545792797815 -986 -101 158
643708545802596636 -981 -106 152
643708545812395457 -953 -107 167
643708545822194278 -951 -107 185
643708545831993099 -976 -108 168
643708545841791920 -963 -112 188
643708545851590741 -957 -113 208
643708545861389562 -980 -111 176
643708545871188409 -987 -109 156
643708545880987230 -977 -107 154
643708545890786051 -968 -109 156
643708545900584872 -965 -109 161
643708545910383693 -969 -110 167
643708545920182514 -974 -109 168
643708545929981335 -975 -107 174
643708545939780156 -975 -105 177
643708545949578977 -978 -105 170
643708545959377798 -981 -106 172
643708545969176619 -980 -106 167
643708545978975440 -981 -103 168
643708545988774261 -980 -104 165
643708545998573082 -979 -104 166
643708546008371903 -980 -107 161
643708546018170724 -978 -109 162
643708546027969545 -977 -109 166
643708546037768366 -977 -106 170
643708546047567187 -980 -105 174
643708546057366008 -983 -105 173
643708546067164829 -984 -105 178
643708546076963650 -982 -111 176
643708546086762471 -983 -118 175
643708546096561292 -979 -122 177
643708546106360113 -979 -122 179
643708546116158934 -981 -119 179
643708546125957755 -980 -119 166
643708546135756576 -974 -115 169
643708546145555397 -964 -110 187
643708546155354218 -965 -108 171
643708546165153039 -967 -108 156
643708546174951860 -967 -110 148
643708546184750681 -961 -107 154
643708546194549502 -957 -105 164
643708546204348323 -962 -104 179
643708546214147144 -971 -103 187
643708546223886646 -981 -105 192
643708546233687162 -983 -105 195
643708546243487678 -986 -104 190
643708546253288194 -985 -102 186
643708546263088710 -981 -96 183
643708546272889226 -978 -95 179
643708546282689742 -978 -99 180
643708546292490258 -979 -105 170
643708546302290774 -977 -111 172
643708546312091290 -973 -116 170
643708546321891806 -970 -115 165
643708546331692322 -970 -112 163
643708546341492838 -972 -107 166
643708546351293354 -976 -105 169
643708546361093870 -978 -102 172
643708546370894386 -983 -98 171
643708546380694902 -985 -100 169
643708546390495418 -985 -101 170
643708546400295934 -985 -101 170
643708546410096450 -986 -95 165
643708546419896966 -984 -87 165
643708546429697482 -982 -78 163
643708546439497998 -981 -76 163
643708546449298514 -977 -74 163
643708546459099030 -973 -76 164
643708546468899546 -972 -84 165
643708546478700062 -971 -88 165
643708546488500578 -972 -93 167
643708546498301094 -972 -96 168
643708546508101610 -976 -95 171
643708546517902126 -979 -96 174
643708546527702642 -982 -95 177
643708546537503158 -983 -99 177
643708546547303674 -982 -101 173
643708546557104190 -980 -105 167
643708546566904706 -976 -108 172
643708546576734908 -976 -110 174
643708546586534576 -979 -111 176
643708546596334244 -981 -109 181
643708546606133912 -985 -108 178
643708546615933580 -986 -103 169
643708546625733248 -984 -100 175
643708546635532916 -978 -94 181
643708546645332584 -978 -89 178
643708546655132252 -977 -83 180
643708546664931920 -976 -76 184
643708546674731588 -979 -68 178
643708546684531256 -978 -70 170
643708546694330924 -976 -73 169
643708546704130592 -970 -75 172
643708546713930260 -969 -77 190
643708546723729928 -977 -82 188
643708546733529596 -983 -88 181
643708546743329264 -984 -88 191
643708546753128932 -984 -90 188
643708546762928600 -987 -91 173
643708546772728268 -983 -88 182
643708546782527936 -975 -92 195
643708546792327604 -975 -93 188
643708546802127272 -980 -92 178
643708546811926940 -976 -86 179
643708546821726608 -980 -86 165
643708546831526276 -979 -93 146
643708546841325944 -966 -97 159
643708546851125612 -967 -101 195
643708546860925280 -985 -105 194
643708546870724948 -984 -109 206
643708546880524616 -965 -108 225
643708546890324284 -980 -103 209
643708546900123952 -997 -99 168
643708546909923620 -991 -97 160
643708546919723288 -975 -96 172
643708546929552623 -962 -98 180
643708546939351444 -955 -96 200
643708546949150265 -955 -82 203
643708546958949086 -960 -64 203
643708546968747907 -967 -53 201
643708546978546728 -976 -49 197
643708546988345549 -980 -51 194
643708546998144370 -980 -52 192
643708547007943191 -980 -57 193
643708547017742012 -982 -59 187
643708547027540833 -982 -65 182
643708547037339654 -979 -71 183
643708547047138475 -977 -81 192
643708547056937296 -975 -87 194
643708547066736117 -979 -91 197
643708547076534938 -980 -94 197
643708547086333759 -980 -94 196
643708547096132580 -979 -86 193
643708547105931401 -977 -82 199
643708547115730222 -980 -77 197
643708547125529043 -980 -69 191
643708547135327864 -980 -67 194
643708547145126685 -978 -73 184
643708547154925506 -978 -85 169
643708547164724327 -973 -89 174
643708547174523148 -969 -92 195
643708547184321969 -976 -94 194
643708547194120790 -981 -93 180
643708547203919611 -982 -94 179
643708547213718432 -983 -93 186
643708547223517253 -981 -93 187
643708547233316074 -980 -91 194
643708547243114895 -979 -87 186
643708547252913716 -980 -80 188
643708547262712537 -982 -76 184
643708547272511358 -981 -78 182
643708547282369571 -973 -81 195
643708547292166696 -969 -75 212
643708547301963821 -974 -71 218
643708547311760946 -977 -62 214
643708547321558071 -982 -54 207
643708547331355196 -980 -55 189
643708547341152321 -972 -57 190
643708547350949446 -961 -63 201
643708547360746571 -963 -68 210
643708547370543696 -973 -68 209
643708547380340821 -978 -68 209
643708547390137946 -979 -65 207
643708547399935071 -980 -61 204
643708547409732196 -984 -62 186
643708547419529321 -979 -69 171
643708547429326446 -968 -78 187
643708547439123571 -962 -85 201
643708547448920696 -970 -86 196
643708547458717821 -976 -81 195
643708547468514946 -979 -75 199
643708547478312071 -981 -68 197
643708547488109196 -981 -66 190
643708547497906321 -975 -70 199
643708547507703446 -975 -77 193
643708547517500571 -973 -80 184
643708547527297696 -969 -84 174
643708547537094821 -970 -82 171
643708547546891946 -972 -82 179
643708547556689071 -974 -90 180
643708547566486196 -974 -92 194
643708547576283321 -977 -89 185
643708547586080446 -981 -83 179
643708547595877571 -981 -73 174
643708547605674696 -982 -69 171
643708547615471821 -980 -67 179
643708547625268946 -977 -68 188
643708547635066077 -979 -67 178
643708547644863202 -985 -62 174
643708547654660327 -987 -62 169
643708547664457452 -984 -66 163
643708547674254577 -981 -76 155
643708547684051702 -975 -91 156
643708547693848827 -967 -94 167
643708547703645952 -969 -90 172
643708547713443077 -977 -78 167
643708547723240202 -981 -74 157
643708547733037327 -970 -77 179
643708547742834452 -965 -77 197
643708547752631577 -976 -77 187
643708547762428702 -982 -71 161
643708547772225827 -980 -61 161
643708547782022952 -974 -58 164
643708547791820077 -972 -67 149
643708547801617202 -960 -66 159
643708547811414327 -958 -70 184
643708547821211452 -974 -80 188
643708547831008577 -972 -92 186
643708547840805702 -952 -101 194
643708547850602827 -963 -99 191
643708547860399952 -987 -92 159
643708547870197077 -989 -93 141
643708547879994202 -979 -93 144
643708547889791327 -965 -95 159
643708547899588452 -963 -90 166
643708547909385577 -970 -75 171
643708547919182702 -973 -59 182
643708547928979827 -980 -49 186
643708547938776952 -984 -46 186
643708547948574077 -988 -44 178
643708547958371202 -987 -50 182
643708547968168327 -983 -50 186
643708547977965452 -978 -52 201
643708547987821928 -975 -61 206
643708547997617358 -978 -68 202
643708548007412788 -977 -77 191
643708548017208218 -974 -84 183
643708548027003648 -966 -91 171
643708548036799078 -966 -95 182
643708548046594508 -973 -98 197
643708548056389938 -986 -100 195
643708548066185368 -994 -100 188
643708548075980798 -997 -102 188
643708548085776228 -995 -102 184
643708548095571658 -989 -105 189
643708548105367088 -984 -106 179
643708548115162518 -976 -109 159
643708548124957948 -961 -108 173
643708548134753378 -963 -110 170
643708548144548808 -971 -112 157
643708548154344238 -967 -118 170
643708548164139668 -970 -113 173
643708548173935098 -982 -108 170
643708548183730528 -984 -99 174
643708548193525958 -982 -89 183
643708548203321388 -981 -74 179
643708548213116818 -982 -62 175
643708548222912248 -983 -53 166
643708548232707678 -977 -54 164
643708548242503108 -973 -58 166
643708548252298538 -974 -64 167
643708548262093968 -978 -72 169
643708548271889398 -982 -74 171
643708548281684828 -985 -73 172
643708548291480258 -987 -71 166
643708548301275688 -984 -70 161
643708548311071118 -979 -66 160
643708548320866548 -976 -64 159
643708548330661978 -973 -62 156
643708548340546439 -974 -66 156
643708548350339326 -977 -70 158
643708548360132213 -982 -70 159
643708548369925100 -986 -68 153
643708548379717987 -985 -64 148
643708548389510874 -984 -64 146
643708548399303761 -983 -58 146
643708548409096648 -983 -61 142
643708548418889535 -980 -60 148
643708548428682422 -977 -59 150
643708548438475309 -980 -55 149
643708548448268196 -981 -54 150
643708548458061083 -982 -53 149
643708548467853970 -983 -54 147
643708548477646857 -982 -56 143
643708548487439744 -980 -57 144
643708548497232631 -976 -59 149
643708548507025518 -978 -60 158
643708548516818405 -982 -63 154
643708548526611292 -985 -65 159
643708548536404179 -985 -62 164
643708548546197066 -988 -61 164
643708548555989953 -989 -59 167
643708548565782840 -990 -57 171
643708548575575727 -992 -57 168
643708548585368614 -990 -57 167
643708548595161501 -989 -58 164
643708548604954388 -985 -61 167
643708548614747275 -983 -63 170
643708548624540162 -983 -66 169
643708548634333049 -985 -69 159
643708548644125936 -984 -69 159
643708548653918823 -982 -64 159
643708548663711710 -980 -63 158
643708548673504597 -978 -60 160
643708548683297484 -978 -57 161
643708548692971696 -980 -58 162
643708548702767974 -983 -57 166
643708548712564252 -985 -64 162
643708548722360530 -987 -62 158
643708548732156808 -986 -58 161
643708548741953086 -988 -60 152
643708548751749364 -987 -64 137
643708548761545642 -976 -57 153
643708548771341920 -978 -53 167
643708548781138198 -988 -55 155
643708548790934476 -976 -60 171
643708548800730754 -961 -63 192
643708548810527032 -980 -56 168
643708548820323310 -990 -54 144
643708548830119588 -988 -55 142
643708548839915866 -982 -59 144
643708548849712144 -980 -62 147
643708548859508422 -978 -64 157
643708548869304700 -978 -61 161
643708548879100978 -980 -55 162
643708548888897256 -980 -54 162
643708548898693534 -983 -51 158
643708548908489812 -984 -53 157
643708548918286090 -984 -50 160
643708548928082368 -983 -48 162
643708548937878646 -982 -49 160
643708548947674924 -983 -49 161
643708548957471202 -982 -54 163
643708548967267480 -983 -57 161
643708548977063758 -983 -61 164
643708548986860036 -985 -72 165
643708548996656314 -986 -81 166
643708549006452592 -986 -85 165
643708549016248870 -987 -84 166
643708549026045148 -987 -75 164
643708549035841426 -990 -67 157
643708549045697068 -988 -59 158
643708549055491650 -982 -57 161
643708549065286232 -981 -53 162
643708549075080814 -982 -52 156
643708549084875396 -980 -47 168
643708549094669978 -981 -51 183
643708549104464560 -986 -60 176
643708549114259142 -986 -66 167
643708549124053724 -987 -67 162
643708549133848306 -984 -62 158
643708549143642888 -977 -55 166
643708549153437470 -967 -53 177
643708549163232052 -971 -51 170
643708549173026634 -975 -50 161
643708549182821216 -974 -51 164
643708549192615798 -973 -57 170
643708549202410380 -982 -58 163
643708549212204962 -986 -68 164
643708549221999544 -988 -72 168
643708549231794126 -987 -68 173
643708549241588708 -986 -67 172
643708549251383290 -984 -58 173
643708549261177872 -986 -55 177
643708549270972454 -987 -53 170
643708549280767036 -987 -56 166
643708549290561618 -987 -51 161
643708549300356200 -985 -49 160
643708549310150782 -979 -46 160
643708549319945364 -970 -47 163
643708549329739946 -969 -49 168
643708549339534528 -973 -52 168
643708549349329110 -980 -59 170
643708549359123692 -987 -66 163
643708549368918274 -987 -69 163
643708549378712856 -985 -72 157
643708549388507438 -983 -71 154
643708549398420705 -978 -73 157
643708549408211896 -975 -69 166
643708549418003087 -979 -65 166
643708549427794278 -985 -58 166
643708549437585469 -986 -54 168
643708549447376660 -986 -51 170
643708549457167851 -985 -51 169
643708549466959042 -985 -54 177
643708549476750233 -986 -54 165
643708549486541424 -989 -55 166
643708549496332615 -987 -57 174
643708549506123806 -986 -63 170
643708549515914997 -983 -61 172
643708549525706188 -981 -54 181
643708549535497379 -982 -43 186
643708549545288570 -981 -41 188
643708549555079761 -979 -42 180
643708549564870952 -974 -46 179
643708549574662143 -966 -51 171
643708549584453334 -965 -54 175
643708549594244525 -960 -53 170
643708549604035716 -966 -52 171
643708549613826907 -975 -54 164
643708549623618098 -983 -57 165
643708549633409289 -989 -55 164
643708549643200480 -987 -51 166
643708549652991671 -985 -47 170
643708549662782862 -985 -46 176
643708549672574053 -987 -44 187
643708549682365244 -990 -42 187
643708549692156435 -990 -45 188
643708549701947626 -991 -50 183
643708549711738817 -986 -54 188
643708549721530008 -975 -50 184
643708549731321199 -963 -47 189
643708549741112390 -966 -40 193
643708549750814596 -980 -45 170
643708549760608330 -981 -38 168
643708549770402064 -972 -39 181
643708549780195798 -980 -39 193
643708549789989532 -986 -43 190
643708549799783266 -966 -53 197
643708549809577000 -954 -48 203
643708549819370734 -980 -42 196
643708549829164468 -990 -45 171
643708549838958202 -984 -46 164
643708549848751936 -969 -50 181
643708549858545670 -971 -47 188
643708549868339404 -983 -54 168
643708549878133138 -951 -84 196
643708549887926872 -955 -63 203
643708549897720606 -975 -44 186
643708549907514340 -984 -31 205
643708549917308074 -989 -35 186
643708549927101808 -997 -40 190
643708549936895542 -993 -43 174
643708549946689276 -984 -47 172
643708549956483010 -955 -64 185
643708549966276744 -940 -53 173
643708549976070478 -942 -55 166
643708549985864212 -953 -39 162
643708549995657946 -969 -31 168
643708550005451680 -968 -18 176
643708550015245414 -953 -1 174
643708550025039148 -943 2 184
643708550034832882 -962 15 185
643708550044626616 -975 -1 199
643708550054420350 -975 -21 209
643708550064214084 -959 -55 209
643708550074007818 -960 -82 180
643708550083801552 -962 -58 169
643708550093595286 -950 -49 250
643708550103418689 -969 -51 237
643708550113211576 -987 -60 199
643708550123004463 -986 -82 210
643708550132797350 -982 -95 217
643708550142590237 -987 -99 220
643708550152383124 -990 -91 220
643708550162176011 -989 -67 233
643708550171968898 -991 -49 230
643708550181761785 -990 -42 220
643708550191554672 -983 -36 227
643708550201347559 -970 -36 233
643708550211140446 -963 -40 236
643708550220933333 -958 -45 236
643708550230726220 -951 -47 238
643708550240519107 -953 -45 232
643708550250311994 -958 -43 226
643708550260104881 -960 -46 218
643708550269897768 -965 -52 206
643708550279690655 -973 -62 191
643708550289483542 -976 -73 182
643708550299276429 -976 -80 184
643708550309069316 -976 -84 190
643708550318862203 -977 -92 193
643708550328655090 -980 -88 195
643708550338447977 -983 -80 196
643708550348240864 -985 -69 194
643708550358033751 -985 -59 195
643708550367826638 -983 -51 197
643708550377619525 -982 -47 197
643708550387412412 -981 -46 187
643708550397205299 -977 -42 184
643708550406998186 -981 -38 180
643708550416791073 -983 -39 177
643708550426583960 -983 -45 176
643708550436376847 -980 -50 177
643708550446169734 -976 -53 177
643708550455843966 -968 -55 178
643708550465640244 -962 -62 181
643708550475436522 -972 -65 180
643708550485232800 -985 -69 182
643708550495029078 -990 -67 176
643708550504825356 -993 -58 176
643708550514621634 -992 -64 174
643708550524417912 -985 -67 172
643708550534214190 -981 -74 170
643708550544010468 -976 -79 173
643708550553806746 -975 -74 174
643708550563603024 -979 -68 170
643708550573399302 -979 -63 172
643708550583195580 -981 -63 179
643708550592991858 -984 -68 176
643708550602788136 -986 -73 170
643708550612584414 -981 -68 169
643708550622380692 -985 -58 167
643708550632176970 -989 -56 145
643708550641973248 -980 -51 148
643708550651769526 -971 -50 175
643708550661565804 -977 -57 176
643708550671362082 -961 -68 189
643708550681158360 -962 -69 188
643708550690954638 -990 -65 169
643708550700750916 -1004 -63 151
643708550710547194 -993 -59 148
643708550720343472 -981 -60 154
643708550730139750 -974 -58 167
643708550739936028 -974 -60 172
643708550749732306 -976 -54 177
643708550759528584 -980 -49 175
643708550769324862 -982 -41 180
643708550779121140 -985 -40 181
643708550788917418 -986 -45 175
643708550798713696 -987 -50 177
643708550808450653 -989 -58 178
643708550818248626 -986 -63 173
643708550828046599 -984 -59 178
643708550837844572 -979 -57 173
643708550847642545 -974 -60 168
643708550857440518 -971 -66 174
643708550867238491 -975 -66 177
643708550877036464 -984 -67 178
643708550886834437 -988 -63 175
643708550896632410 -987 -67 171
643708550906430383 -986 -67 174
643708550916228356 -978 -56 181
643708550926026329 -976 -57 184
643708550935824302 -978 -55 185
643708550945622275 -977 -50 177
643708550955420248 -975 -44 171
643708550965218221 -975 -49 177
643708550975016194 -973 -58 184
643708550984814167 -977 -55 172
643708550994612140 -979 -63 179
643708551004410113 -982 -71 171
643708551014208086 -981 -78 167
643708551024006059 -973 -73 177
643708551033804032 -977 -68 188
643708551043602005 -979 -60 189
643708551053399978 -975 -51 193
643708551063197951 -976 -53 201
643708551072995924 -986 -51 192
643708551082793897 -989 -57 182
643708551092591870 -988 -61 180
643708551102389843 -986 -59 187
643708551112187816 -983 -53 190
643708551121985789 -984 -48 189
643708551131783762 -981 -45 191
643708551141581735 -970 -43 190
643708551151379708 -970 -39 193
643708551161207361 -988 -44 192
643708551171004486 -993 -54 204
643708551180801611 -994 -64 187
643708551190598736 -991 -57 191
643708551200395861 -990 -55 196
643708551210192986 -988 -63 198
643708551219990111 -985 -68 206
643708551229787236 -987 -58 196
643708551239584361 -986 -48 194
643708551249381486 -980 -32 203
643708551259178611 -974 -28 206
643708551268975736 -965 -33 203
643708551278772861 -966 -31 196
643708551288569986 -965 -24 193
643708551298367111 -966 -29 197
643708551308164236 -977 -33 190
643708551317961361 -974 -38 184
643708551327758486 -951 -24 189
643708551337555611 -928 -4 188
643708551347352736 -935 -16 194
643708551357149861 -955 -18 194
643708551366946986 -968 -24 194
643708551376744111 -961 -13 206
643708551386541236 -962 -11 200
643708551396338361 -966 -10 191
643708551406135486 -969 -14 190
643708551415932611 -984 -16 191
643708551425729736 -1012 -21 200
643708551435526861 -1021 -50 209
643708551445323986 -990 -11 206
643708551455121111 -971 -20 210
643708551464918236 -961 1 190
643708551474715361 -946 -7 202
643708551484512486 -953 -13 196
643708551494309611 -954 0 189
643708551504106736 -958 -12 207
643708551513844517 -985 -12 217
643708551523643338 -998 -12 194
643708551533442159 -999 -18 190
643708551543240980 -983 -2 193
643708551553039801 -943 21 186
643708551562838622 -933 19 172
643708551572637443 -946 12 192
643708551582436264 -968 5 187
643708551592235085 -980 -3 168
643708551602033906 -974 -45 195
643708551611832727 -976 -76 221
643708551621631548 -987 -70 217
643708551631430369 -1025 -48 186
