timestamp ecg
643708537596774873 4973
643708537604460740 4961
643708537612146607 4942
643708537619832474 4925
643708537627518341 4903
643708537635204208 4874
643708537642890075 4850
643708537650575942 4828
643708537658261809 4806
643708537665947676 4787
643708537673633543 4758
643708537681319410 4712
643708537689005277 4673
643708537696691144 4656
643708537704377011 4651
643708537712062878 4619
643708537719748745 4561
643708537727434612 4532
643708537735120479 4505
643708537742806346 4462
643708537750492213 4445
643708537758178080 4421
643708537765863947 4357
643708537773549814 4307
643708537781235681 4273
643708537788921548 4246
643708537796607415 4222
643708537804293282 4178
643708537811979149 4127
643708537819665016 4093
643708537827350883 4054
643708537835036750 3999
643708537842722617 3965
643708537850408484 3928
643708537858094351 3870
643708537865780218 3836
643708537873466085 3807
643708537881151952 3741
643708537888837819 3691
643708537896523686 3659
643708537904209553 3618
643708537911895420 3572
643708537919581287 3530
643708537927267154 3487
643708537934953021 3443
643708537942638888 3395
643708537950324755 3344
643708537958010622 3300
643708537965696489 3264
643708537973382356 3215
643708537981068223 3169
643708537988754090 3135
643708537996439957 3094
643708538004125824 3070
643708538011811691 3058
643708538019497558 3004
643708538027183425 2931
643708538034869292 2871
643708538042555159 2818
643708538050241026 2781
643708538057926893 2750
643708538065612760 2708
643708538073298627 2655
643708538080984494 2577
643708538088670361 2580
643708538096356228 2847
643708538104042095 3361
643708538111727962 3848
643708538119413829 3935
643708538127099696 3278
643708538134785563 2313
643708538142471430 1981
643708538150157297 2182
643708538157843216 2189
643708538165529083 2068
643708538173214950 2068
643708538180900817 2049
643708538188586684 1981
643708538196272551 1961
643708538203958418 1944
643708538211644285 1903
643708538219330152 1877
643708538227016019 1855
643708538234701886 1823
643708538242387753 1794
643708538250073620 1775
643708538257759487 1765
643708538265445354 1748
643708538273131221 1726
643708538280817088 1707
643708538288502955 1690
643708538296188822 1692
643708538303874689 1695
643708538311560556 1692
643708538319246423 1709
643708538326932290 1741
643708538334618157 1765
643708538342304024 1794
643708538349989891 1828
643708538357675758 1845
643708538365361625 1845
643708538373047492 1850
643708538380733359 1840
643708538388419226 1763
643708538396105093 1627
643708538403790960 1467
643708538411476827 1311
643708538419162694 1188
643708538426848561 1093
643708538434534428 1013
643708538442220295 955
643708538449906162 911
643708538457592029 875
643708538465277896 853
643708538472963763 851
643708538480649630 843
643708538488335497 822
643708538496021364 802
643708538503707231 788
643708538511393098 778
643708538519078965 768
643708538526764832 751
643708538534450699 734
643708538542136566 727
643708538549822433 720
643708538557508300 710
643708538565194167 698
643708538572880034 691
643708538580565901 679
643708538588251768 669
643708538595937635 662
643708538603623502 649
643708538611309369 632
643708538618995236 620
643708538626681103 611
643708538634366970 596
643708538642052837 584
643708538649738704 574
643708538657424571 562
643708538665110438 548
643708538672796305 538
643708538680482172 526
643708538688168039 514
643708538695853906 509
643708538703539773 497
643708538711225640 485
643708538718891471 477
643708538726577617 470
643708538734263763 455
643708538741949909 446
643708538749636055 446
643708538757322201 438
643708538765008347 429
643708538772694493 421
643708538780380639 412
643708538788066785 400
643708538795752931 392
643708538803439077 388
643708538811125223 378
643708538818811369 371
643708538826497515 363
643708538834183661 358
643708538841869807 351
643708538849555953 346
643708538857242099 341
643708538864928245 329
643708538872614391 315
643708538880300537 310
643708538887986683 310
643708538895672829 303
643708538903358975 298
643708538911045121 293
643708538918731267 288
643708538926417413 278
643708538934103559 274
643708538941789705 276
643708538949475851 274
643708538957161997 264
643708538964848143 257
643708538972534289 252
643708538980220435 242
643708538987906581 237
643708538995592727 230
643708539003278873 215
643708539010965019 208
643708539018651165 213
643708539026337311 213
643708539034023457 213
643708539041709603 225
643708539049395749 247
643708539057081895 244
643708539064768041 218
643708539072454187 191
643708539080140333 172
643708539087826479 174
643708539095512625 196
643708539103198771 191
643708539110884917 164
643708539118571063 140
643708539126257209 109
643708539133943355 215
643708539141629501 628
643708539149315647 1224
643708539157001793 1687
643708539164687939 1588
643708539172374085 729
643708539180060231 -97
643708539187746377 -138
643708539195432523 84
643708539203118669 29
643708539210804815 -26
643708539218490961 21
643708539226177107 9
643708539233863253 -14
643708539241549399 7
643708539249235545 14
643708539256921691 7
643708539264607837 16
643708539272293983 24
643708539279995210 21
643708539287681147 33
643708539295367084 48
643708539303053021 55
643708539310738958 65
643708539318424895 80
643708539326110832 92
643708539333796769 106
643708539341482706 130
643708539349168643 160
643708539356854580 194
643708539364540517 227
643708539372226454 266
643708539379912391 322
643708539387598328 383
643708539395284265 438
643708539402970202 485
643708539410656139 514
643708539418342076 526
643708539426028013 511
643708539433713950 453
643708539441399887 346
643708539449085824 213
643708539456771761 84
643708539464457698 -19
643708539472143635 -92
643708539479829572 -140
643708539487515509 -169
643708539495201446 -186
643708539502887383 -194
643708539510573320 -189
643708539518259257 -186
643708539525945194 -184
643708539533631131 -174
643708539541317068 -164
643708539549003005 -157
643708539556688942 -157
643708539564374879 -152
643708539572060816 -140
643708539579746753 -135
643708539587432690 -128
643708539595118627 -118
643708539602804564 -111
643708539610490501 -109
643708539618176438 -104
643708539625862375 -101
643708539633548312 -97
643708539641234249 -92
643708539648920186 -92
643708539656606123 -89
643708539664292060 -82
643708539671977997 -82
643708539679663934 -84
643708539687349871 -82
643708539695035808 -84
643708539702721745 -84
643708539710407682 -84
643708539718093619 -84
643708539725779556 -89
643708539733465493 -92
643708539741151430 -92
643708539748837367 -87
643708539756523304 -80
643708539764209241 -80
643708539771895178 -80
643708539779581115 -77
643708539787267052 -72
643708539794952989 -75
643708539802638926 -72
643708539810324863 -67
643708539818010800 -65
643708539825696737 -65
643708539833382674 -63
643708539841068640 -60
643708539848754577 -58
643708539856440514 -53
643708539864126451 -50
643708539871812388 -60
643708539879498325 -65
643708539887184262 -55
643708539894870199 -50
643708539902556136 -55
643708539910242073 -55
643708539917928010 -53
643708539925613947 -63
643708539933299884 -65
643708539940985821 -53
643708539948671758 -53
643708539956357695 -60
643708539964043632 -65
643708539971729569 -65
643708539979415506 -60
643708539987101443 -55
643708539994787380 -60
643708540002473317 -63
643708540010159254 -60
643708540017845191 -58
643708540025531128 -58
643708540033217065 -58
643708540040903002 -55
643708540048588939 -50
643708540056274876 -48
643708540063960813 -50
643708540071646750 -53
643708540079332687 -50
643708540087018624 -46
643708540094704561 -41
643708540102390498 -41
643708540110076435 -41
643708540117762372 -41
643708540125448309 -41
643708540133134246 -41
643708540140820183 -36
643708540148506120 -33
643708540156192057 -36
643708540163877994 -38
643708540171563931 -41
643708540179249868 -41
643708540186935805 -46
643708540194621742 -58
643708540202307679 -67
643708540209993616 -70
643708540217679553 -63
643708540225365490 -50
643708540233051427 -41
643708540240737364 -26
643708540248423301 -4
643708540256109238 -9
643708540263795175 -31
643708540271481112 -41
643708540279167049 -48
643708540286852986 -50
643708540294538923 -43
643708540302224860 -38
643708540309910797 -43
643708540317596734 -77
643708540325282671 -87
643708540332968608 111
643708540340654545 603
643708540348340482 1200
643708540356026419 1556
643708540363712356 1217
643708540371398293 247
643708540379084230 -358
643708540386770167 -218
643708540394456104 -75
643708540402142066 -172
643708540409828003 -179
643708540417513940 -130
643708540425199877 -155
643708540432885814 -160
643708540440571751 -133
643708540448257688 -130
643708540455943625 -133
643708540463629562 -113
643708540471315499 -104
643708540479001436 -106
643708540486687373 -97
643708540494373310 -77
643708540502059247 -60
643708540509745184 -46
643708540517431121 -31
643708540525117058 -12
643708540532802995 12
643708540540488932 36
643708540548174869 72
643708540555860806 111
643708540563546743 150
