timestamp x y z
643710817168135459 -971 -44 164
643710817177932584 -975 -41 163
643710817187729709 -980 -43 160
643710817197526834 -981 -38 157
643710817207323959 -980 -40 153
643710817217121084 -981 -40 154
643710817226918209 -981 -38 157
643710817236715334 -980 -40 156
643710817246512459 -978 -39 158
643710817256309584 -976 -40 160
643710817266106709 -978 -40 158
643710817275903834 -981 -41 163
643710817285700959 -982 -39 160
643710817295498084 -982 -37 160
643710817305295209 -980 -38 158
643710817315092334 -981 -35 159
643710817324889459 -979 -35 158
643710817334686584 -980 -33 165
643710817344483709 -978 -37 180
643710817354280834 -983 -36 178
643710817364077959 -988 -24 148
643710817373875084 -986 -18 139
643710817383672209 -989 -37 142
643710817393469334 -992 -29 127
643710817403266459 -981 -45 189
643710817413063584 -961 -37 232
643710817422860709 -963 -29 178
643710817432657834 -981 -22 152
643710817442454959 -984 -24 119
643710817452252084 -970 -32 140
643710817462049209 -967 -39 159
643710817471846334 -978 -38 166
643710817481643459 -983 -32 168
643710817491440584 -985 -24 166
643710817501237709 -988 -23 161
643710817511034834 -989 -28 161
