timestamp x y z
643901899369126898 -968 20 272
643901899378932500 -969 21 263
643901899388738102 -969 19 256
643901899398543704 -969 22 262
643901899408349306 -954 19 274
643901899418154908 -956 17 272
643901899427960510 -942 17 287
643901899437766112 -932 18 296
643901899447571714 -967 23 276
643901899457377316 -984 20 253
643901899467182918 -970 20 247
643901899476988520 -950 21 259
643901899486794122 -942 19 268
643901899496599724 -941 19 275
643901899506405326 -948 20 277
643901899516210928 -955 21 274
643901899526016530 -960 21 274
643901899535822132 -962 23 273
643901899545627734 -964 21 271
643901899555433336 -963 24 271
643901899565238938 -964 24 267
643901899575044540 -964 23 265
643901899584850142 -962 23 264
643901899594655744 -959 21 264
643901899604461346 -956 21 263
643901899614266948 -955 23 265
643901899624072550 -957 24 266
643901899633878152 -957 24 267
643901899643683754 -962 24 268
643901899653489356 -961 25 267
643901899663294958 -960 22 265
643901899673100560 -962 22 265
643901899682906162 -959 27 270
643901899692711764 -959 27 266
643901899702517366 -964 26 267
643901899712322968 -964 25 268
643901899722158229 -965 25 261
643901899731962984 -968 20 262
643901899741767739 -959 21 266
643901899751572494 -958 20 269
643901899761377249 -958 22 268
643901899771182004 -959 24 266
643901899780986759 -961 26 266
643901899790791514 -957 26 266
643901899800596269 -956 24 267
643901899810401024 -957 25 267
643901899820205779 -962 23 267
643901899830010534 -962 26 267
643901899839815289 -964 25 265
643901899849620044 -964 24 264
643901899859424799 -962 22 265
643901899869229554 -958 22 262
643901899879034309 -959 22 262
643901899888839064 -962 22 266
643901899898643819 -964 21 265
643901899908448574 -961 22 265
643901899918253329 -963 20 264
643901899928058084 -959 23 266
643901899937862839 -962 22 267
643901899947667594 -962 24 267
643901899957472349 -961 23 266
643901899967277104 -960 24 265
643901899977081859 -961 25 265
643901899986886614 -960 25 263
643901899996691369 -960 22 265
643901900006496124 -959 23 263
643901900016300879 -960 22 263
643901900026105634 -959 24 264
643901900035910389 -961 26 266
643901900045715144 -961 27 264
643901900055519899 -962 27 266
643901900065324654 -959 24 266
643901900075099798 -958 26 267
643901900084905400 -957 25 268
643901900094711002 -954 26 266
643901900104516604 -957 26 268
643901900114322206 -954 26 268
643901900124127808 -954 27 270
643901900133933410 -954 27 270
643901900143739012 -955 27 271
643901900153544614 -952 24 274
643901900163350216 -955 24 274
643901900173155818 -960 25 272
643901900182961420 -967 32 268
643901900192767022 -964 29 257
643901900202572624 -959 33 259
643901900212378226 -946 29 269
643901900222183828 -946 29 277
643901900231989430 -956 28 275
643901900241795032 -940 25 287
643901900251600634 -942 26 294
643901900261406236 -963 27 280
643901900271211838 -976 29 263
643901900281017440 -963 26 260
643901900290823042 -948 26 267
643901900300628644 -942 29 276
643901900310434246 -942 31 281
643901900320239848 -948 32 280
643901900330045450 -952 32 277
643901900339851052 -957 28 273
643901900349656654 -959 30 273
643901900359462256 -958 27 272
643901900369267858 -956 28 273
643901900379073460 -957 25 272
643901900388879062 -959 25 270
643901900398684664 -960 27 270
643901900408490266 -955 27 272
643901900418295868 -953 31 272
643901900428131123 -952 31 274
643901900437935878 -951 30 275
643901900447740633 -951 32 276
643901900457545388 -954 33 280
643901900467350143 -955 31 276
643901900477154898 -958 28 268
643901900486959653 -959 30 271
643901900496764408 -954 31 277
643901900506569163 -959 36 274
643901900516373918 -956 33 273
643901900526178673 -958 32 272
643901900535983428 -959 32 268
643901900545788183 -954 32 270
643901900555592938 -948 31 272
643901900565397693 -947 32 273
643901900575202448 -949 30 275
643901900585007203 -956 30 273
643901900594811958 -956 27 272
643901900604616713 -956 25 274
643901900614421468 -953 23 277
643901900624226223 -951 20 276
643901900634030978 -948 22 279
643901900643835733 -947 20 277
643901900653640488 -948 20 275
643901900663445243 -950 22 274
643901900673249998 -956 22 275
643901900683054753 -964 23 274
643901900692859508 -966 25 275
643901900702664263 -965 26 276
643901900712469018 -961 28 276
643901900722273773 -955 31 273
643901900732078528 -950 31 273
643901900741883283 -946 32 274
643901900751688038 -949 33 273
643901900761492793 -948 38 272
643901900771297548 -945 42 271
643901900781043012 -945 40 274
643901900790849462 -948 43 270
643901900800655912 -954 43 272
643901900810462362 -961 41 271
643901900820268812 -964 43 270
643901900830075262 -966 41 268
643901900839881712 -962 38 268
643901900849688162 -958 33 268
643901900859494612 -958 29 270
643901900869301062 -953 25 269
643901900879107512 -956 24 269
643901900888913962 -960 24 266
643901900898720412 -959 25 265
643901900908526862 -962 26 268
643901900918333312 -958 28 268
643901900928139762 -958 27 271
643901900937946212 -955 27 271
643901900947752662 -953 26 273
643901900957559112 -954 27 276
643901900967365562 -960 25 277
643901900977172012 -967 25 272
643901900986978462 -975 30 269
643901900996784912 -971 23 262
643901901006591362 -968 28 262
643901901016397812 -952 25 270
643901901026204262 -954 28 272
643901901036010712 -957 27 275
643901901045817162 -937 27 281
643901901055623612 -937 32 286
643901901065430062 -959 32 269
643901901075236512 -971 31 251
643901901085042962 -960 26 254
643901901094849412 -946 25 262
643901901104655862 -941 25 275
643901901114462312 -941 27 281
643901901124268762 -947 28 282
643901901133867530 -955 28 281
643901901143679914 -960 24 278
643901901153492298 -961 24 279
643901901163304682 -961 28 281
643901901173117066 -961 27 279
643901901182929450 -960 31 277
643901901192741834 -955 29 276
643901901202554218 -953 32 274
643901901212366602 -950 32 272
643901901222178986 -948 28 274
643901901231991370 -948 31 275
643901901241803754 -948 31 275
643901901251616138 -947 29 277
643901901261428522 -948 31 280
643901901271240906 -950 34 277
643901901281053290 -954 32 272
643901901290865674 -952 36 280
643901901300678058 -951 39 279
643901901310490442 -954 34 280
643901901320302826 -951 31 277
643901901330115210 -951 29 278
643901901339927594 -956 28 276
643901901349739978 -953 31 277
643901901359552362 -949 30 281
643901901369364746 -949 30 285
643901901379177130 -951 32 281
643901901388989514 -954 28 278
643901901398801898 -953 29 277
643901901408614282 -951 27 281
643901901418426666 -949 29 281
643901901428239050 -948 29 279
643901901438051434 -951 31 278
643901901447863818 -948 31 276
643901901457676202 -950 30 276
643901901467488586 -951 31 278
643901901477300970 -955 32 276
643901901487143023 -957 32 275
643901901496954560 -956 38 276
