timestamp x y z
643902026468456850 -941 27 291
643902026478250584 -940 26 286
643902026488044318 -940 27 287
643902026497838052 -943 26 289
643902026507631786 -945 26 286
643902026517425520 -947 26 284
643902026527219254 -946 26 283
643902026537012988 -943 26 284
643902026546806722 -944 24 284
643902026556600456 -945 27 282
643902026566394190 -941 27 281
643902026576187924 -942 26 285
643902026585981658 -945 28 285
643902026595775392 -948 33 280
643902026605569126 -952 31 272
643902026615362860 -951 30 267
643902026625156594 -942 30 272
643902026634950328 -933 26 286
643902026644744062 -949 28 284
643902026654537796 -935 28 298
643902026664331530 -924 27 307
643902026674125264 -944 30 293
643902026683918998 -963 31 270
643902026693712732 -953 32 263
643902026703506466 -941 30 270
643902026713300200 -932 30 279
643902026723093934 -933 35 286
643902026732887668 -939 34 290
643902026742681402 -944 33 289
643902026752475136 -949 30 284
643902026762268870 -949 29 282
643902026772062604 -947 31 284
643902026781856338 -946 33 281
643902026791650072 -947 35 278
643902026801443806 -946 32 278
643902026811237540 -944 33 274
